"";"REFSEQ_MRNA";"logFC"
"ILMN_3307901";"NM_022041";0,747419015870157
"ILMN_1724059";"NM_152236";-0,523950089740623
"ILMN_2102670";"NM_032638";-0,531147160988194
"ILMN_2364110";"NM_001005742";-0,541861391816673
"ILMN_2157544";"NM_004193";-0,508983755130699
"ILMN_1800602";"NM_012198";0,545689065724012
"ILMN_1734153";"NM_001493";-0,351826259895892
"ILMN_2220184";"NM_002056";0,467872595137726
"ILMN_2402972";"NM_014001";-0,294457583010155
"ILMN_1681754";"NM_003878";0,309141984635152
"ILMN_1725620";"NM_024835";0,485957721477629
"ILMN_1692276";"NM_001037277";0,526015353981708
"ILMN_3192867";"XM_001129425";-0,507077823704937
"ILMN_1754272";"NM_022770";-0,2773182067143
"ILMN_1806754";"NM_000170";-1,23810470303236
"ILMN_1652631";"NM_022343";-0,834312534946924
"ILMN_1702177";"NM_006708";0,639306355201889
"ILMN_1742044";"NM_002069";0,709989937342845
"ILMN_1733511";"NM_005895";-0,171045511105817
"ILMN_1773741";"NM_005113";0,478055591342773
"ILMN_1778673";"NM_001002296";0,255321925546248
"ILMN_1706764";"NM_018178";0,393567828866336
"ILMN_1769702";"NM_003801";-0,327506395836431
"ILMN_1801516";"NM_002081";-0,395574149780055
"ILMN_2105643";"NM_000408";0,443613334332665
"ILMN_1730816";"NM_019858";-0,999749573744627
"ILMN_1754727";"NM_001004051";-0,392837232147189
"ILMN_1723706";"NM_015124";-0,679414861275063
"ILMN_2391861";"NM_000561";-0,992629689444845
"ILMN_1748616";"NM_002096";-0,280600380690082
"ILMN_1789839";"NM_001520";-0,357639681302429
"ILMN_1789508";"NM_012086";0,559602867317647
"ILMN_1733964";"NM_012204";0,479907794605413
"ILMN_1660698";"NM_014170";0,168865773443121
"ILMN_1705991";"NR_003504";-0,258616202246754
"ILMN_1803945";"NM_006674";-0,763997996575383
"ILMN_1765621";"NM_004494";-0,264926887445601
"ILMN_3249669";"NM_015473";0,502938180372624
"ILMN_1783610";"NM_018063";0,871369017615778
"ILMN_1770665";"NM_022079";1,05421896906759
"ILMN_1763007";"NM_033055";0,193442275726012
"ILMN_1777058";"NM_032558";-0,142851182212944
"ILMN_1782954";"NM_005339";0,506346280202948
"ILMN_1768973";"NM_003517";-0,191861983709634
"ILMN_1735548";"NM_002114";0,279146251407235
"ILMN_1745447";"NM_006734";-0,466685245890745
"ILMN_2382990";"NM_033500";-0,259068763170161
"ILMN_1761733";"NM_002118";-0,839422538798655
"ILMN_1666078";"NR_001434";-0,592109053853955
"ILMN_1651315";"NM_006339";-0,304706282042774
"ILMN_2151579";"NM_004965";0,212519975122085
"ILMN_2334587";"NM_001077442";0,344906862915222
"ILMN_2362245";"NM_019597";0,909104159282593
"ILMN_3179371";"NM_031263";0,243241481451722
"ILMN_3177285";"NM_005826";0,591672224808521
"ILMN_2220283";"NR_002944";0,212601434182822
"ILMN_2369682";"NM_031243";0,54922933466082
"ILMN_1653432";"NR_003249";0,345916076585706
"ILMN_1831943";"CX869259";0,423427940303219
"ILMN_1839719";"AK025166";1,05805105790685
"ILMN_1869897";"BC043003";0,877358187848666
"ILMN_1891857";"AL137321";0,555096647237744
"ILMN_1849186";"BC004287";0,643759655095159
"ILMN_1856609";"AW855473";-0,249441855753324
"ILMN_1899940";"BM695528";-0,520429290431794
"ILMN_1882590";"AK094914";-0,43020911081789
"ILMN_1839190";"BC073918";0,141368075249242
"ILMN_1827211";"U43604";-0,564350317900517
"ILMN_1885165";"BX537622";0,63040966094978
"ILMN_1823231";"CR603183";-0,553468979227915
"ILMN_1880052";"BG496257";0,467013140562605
"ILMN_1692056";"NM_006042";-0,628063133699758
"ILMN_3239912";"NR_003607";-0,165024776985011
"ILMN_3249645";"NM_006948";0,521362670725434
"ILMN_1660436";"NM_005346";-0,302568049024631
"ILMN_3194087";"NR_023918";-0,484234440500919
"ILMN_3272768";"NR_023919";-0,410834495054738
"ILMN_1747204";"NM_013247";-0,667379667082347
"ILMN_1685870";"NM_032821";0,0854711758564655
"ILMN_2373632";"NM_006899";-0,295540297213334
"ILMN_1740319";"NM_032036";-0,644691346949401
"ILMN_3238560";"NM_032036";-0,617070904907131
"ILMN_1807277";"NM_006332";-0,545035664470578
"ILMN_2239754";"NM_001549";0,643065493348995
"ILMN_1696654";"NM_012420";0,351200020634656
"ILMN_3245702";"NM_176891";0,705807422506912
"ILMN_1742379";"NM_052989";-0,483984779625594
"ILMN_3235216";"NM_174887";-0,282211297919844
"ILMN_2373755";"NM_006531";0,450655122279095
"ILMN_1669366";"NM_006531";0,70685923882976
"ILMN_1702447";"NM_006548";0,20185531406168
"ILMN_1807423";"NM_006547";0,481616342910364
"ILMN_2357062";"NM_134470";0,596672745064048
"ILMN_1688152";"NM_004843";-0,621795426601687
"ILMN_1698463";"NM_012218";-0,375292115366467
"ILMN_1759419";"NM_006844";-0,333951585392636
"ILMN_1769451";"NM_006844";-0,418191132634488
"ILMN_1773312";"NM_176877";0,413238916871604
"ILMN_1799387";"NM_017553";0,48582077492509
"ILMN_1676629";"NM_016133";0,694161435466757
"ILMN_1686553";"NM_020748";0,759569608647349
"ILMN_1655557";"NM_001039937";0,57237901873772
"ILMN_1718354";"NM_015434";0,330329810009542
"ILMN_2392286";"NM_001006115";-0,49278414112584
"ILMN_1723117";"NM_018085";-0,278357862382112
"ILMN_1803819";"NM_003870";0,796532735917383
"ILMN_1726554";"NM_004136";0,678596248303235
"ILMN_1751171";"NM_015649";-0,370970776272908
"ILMN_1693310";"NM_030790";0,172100495059881
"ILMN_1701244";"NM_018463";-0,182039699149573
"ILMN_1700432";"NM_002221";-0,429846326585786
"ILMN_1786920";"NM_005056";0,156130827984566
"ILMN_1764970";"NM_032776";1,13434973077756
"ILMN_2198393";"NM_007044";0,409571244582223
"ILMN_1784540";"NM_015483";1,12744701135121
"ILMN_1687092";"NM_018095";-0,454973327700118
"ILMN_1658104";"NM_152903";0,768070814286929
"ILMN_1744403";"NM_013434";-0,334113537847568
"ILMN_1809708";"NM_001029859";-0,555960172933343
"ILMN_2134555";"NM_016121";0,932418480928371
"ILMN_1800220";"NM_016121";1,04604274011889
"ILMN_1653612";"NM_017634";0,852851623215939
"ILMN_2130411";"NM_006801";-0,411001250527754
"ILMN_1713901";"NM_016657";-0,54515717660584
"ILMN_1798952";"NM_016657";-0,480581210410858
"ILMN_1738468";"NM_000420";-0,987509706876056
"ILMN_1728676";"NM_014846";0,296274273708441
"ILMN_1847822";"NM_001080398";0,208934482281576
"ILMN_1688455";"NM_015058";0,426422077818631
"ILMN_1651684";"NM_014749";0,663807678230518
"ILMN_1690484";"NM_015314";0,361739053581731
"ILMN_1668469";"NM_015196";-0,617091758502895
"ILMN_1813635";"NM_015496";0,584964204688787
"ILMN_1798346";"NM_020854";0,596614881225149
"ILMN_1763640";"NM_020941";-0,354100823812319
"ILMN_1807177";"NM_017794";-0,351772479584282
"ILMN_2106227";"NM_001017969";0,743655813731948
"ILMN_2143155";"NM_004523";1,06290941337727
"ILMN_1794539";"NM_004523";1,13008552247396
"ILMN_1808071";"NM_014875";1,49904112833148
"ILMN_1788160";"NM_004521";1,24366000301344
"ILMN_2341595";"NM_000899";0,963248630861566
"ILMN_2115591";"NM_014997";0,371982240173859
"ILMN_1703314";"NM_024731";-0,13964231241377
"ILMN_1732516";"NM_014708";0,815202660919093
"ILMN_1703949";"NM_002265";0,463313052358373
"ILMN_3239060";"NM_032534";-0,509878672120755
"ILMN_2382290";"NM_024507";-0,482038098341637
"ILMN_1708151";"NM_006014";-0,610144427963203
"ILMN_1688892";"NM_198129";-0,142253138763769
"ILMN_1752351";"NM_013995";0,501599364105569
"ILMN_2170814";"NM_014398";-0,969902948755761
"ILMN_1756104";"NM_016648";0,785008785537094
"ILMN_3262936";"NM_182551";0,350569781246993
"ILMN_1809040";"NM_015627";-0,267799030316557
"ILMN_1801553";"NM_138792";0,631580068323457
"ILMN_1804451";"NM_138792";0,87863208651775
"ILMN_1675387";"NM_004987";0,46148241992128
"ILMN_1800078";"NM_005574";-0,342668121888033
"ILMN_3188005";"XM_001715054";-0,24551003077658
"ILMN_3179946";"XR_038391";0,286427209869754
"ILMN_3195372";"XM_001720210";-0,547772762978997
"ILMN_3266666";"XR_039511";0,744005655557174
"ILMN_3195497";"XM_001717579";-0,679625376845936
"ILMN_3187530";"XM_001723069";0,629447099252105
"ILMN_3257004";"XM_001723486";0,373788135579623
"ILMN_3278070";"XR_038376";0,96666681273436
"ILMN_3215367";"XR_037562";0,823801776195999
"ILMN_3280695";"XM_001718330";-0,273105773751183
"ILMN_3215712";"XR_038433";0,186514783413248
"ILMN_3275696";"XR_037582";0,153530870729329
"ILMN_3203534";"XM_001726593";0,274110896413609
"ILMN_3203444";"XR_038625";-0,683587955052244
"ILMN_3280628";"XR_038800";0,62511156190412
"ILMN_3208330";"XR_036994";0,87341140590829
