"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1608";"ILMN_1791280";"HSPB8";" 8.17";" 8.52";"-0.3491";"0.04313";"0.07053";"0.08267";"0.1002";"0.802";"0.0814";"0.0162"
"1609";"ILMN_2119692";"CSAD";" 7.23";" 7.71";"-0.4795";"0.09946";"0.05575";"0.11402";"0.1022";"0.802";"0.0455";"0.0502"
"1610";"ILMN_1709039";"RPL13";" 5.51";" 4.89";" 0.6166";"0.09818";"0.08023";"0.12679";"0.0493";"0.802";"0.1408";"0.0078"
"1611";"ILMN_1806387";"LOC340598";" 6.28";" 5.31";" 0.9704";"0.12370";"0.22058";"0.25290";"0.1589";"0.802";"0.0217";"0.0175"
"1612";"ILMN_1714327";"SETD1A";" 6.52";" 6.86";"-0.3345";"0.02860";"0.07735";"0.08247";"0.1218";"0.802";"0.0616";"0.0147"
"1613";"ILMN_3178792";"HNRNPA2B1";"10.84";"10.08";" 0.7640";"0.12598";"0.12728";"0.17908";"0.0952";"0.802";"0.0756";"0.0275"
"1614";"ILMN_3309664";"MIR300";" 4.85";" 5.32";"-0.4635";"0.08855";"0.08560";"0.12316";"0.1738";"0.801";"0.0159";"0.0089"
"1615";"ILMN_2075189";"SLC35F2";" 8.92";" 8.41";" 0.5109";"0.04906";"0.12486";"0.13415";"0.1644";"0.801";"0.0210";"0.0135"
"1616";"ILMN_1689251";"SPG3A";" 6.41";" 6.91";"-0.4993";"0.06919";"0.09133";"0.11458";"0.0857";"0.801";"0.0986";"0.0150"
"1617";"ILMN_1701247";"LOC132241";" 6.69";" 6.41";" 0.2867";"0.02407";"0.07150";"0.07544";"0.1657";"0.800";"0.0240";"0.0102"
"1618";"ILMN_1792455";"TMEM158";" 8.15";" 8.77";"-0.6146";"0.12483";"0.02106";"0.12659";"0.0496";"0.800";"0.1466";"0.0038"
"1619";"ILMN_1655821";"CAPG";" 7.51";" 8.26";"-0.7569";"0.14296";"0.05343";"0.15262";"0.0445";"0.800";"0.1402";"0.0154"
"1620";"ILMN_2409318";"RCCD1";" 6.71";" 7.20";"-0.4937";"0.10511";"0.06175";"0.12191";"0.1224";"0.800";"0.0306";"0.0471"
"1621";"ILMN_1709114";"MAP3K7IP1";" 7.40";" 7.86";"-0.4587";"0.09022";"0.04358";"0.10020";"0.0669";"0.800";"0.1035";"0.0300"
"1622";"ILMN_2054392";"PPIL1";" 8.63";" 8.41";" 0.2187";"0.01062";"0.05459";"0.05562";"0.1409";"0.800";"0.0450";"0.0146"
"1623";"ILMN_1713450";"MYL6B";" 9.58";" 9.99";"-0.4100";"0.04649";"0.08802";"0.09954";"0.1128";"0.799";"0.0700";"0.0178"
"1624";"ILMN_1806607";"SFN";"11.52";"11.80";"-0.2794";"0.03647";"0.05871";"0.06912";"0.1234";"0.799";"0.0527";"0.0246"
"1625";"ILMN_1814606";"GALNT2";" 6.89";" 7.46";"-0.5739";"0.03602";"0.14170";"0.14620";"0.1421";"0.799";"0.0478";"0.0110"
"1626";"ILMN_1771019";"MTMR4";" 8.66";" 9.11";"-0.4504";"0.09628";"0.02389";"0.09920";"0.0696";"0.799";"0.0875";"0.0440"
