"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"717";"ILMN_1685112";"TACO1";" 9.63";" 9.94";"-0.3042";"0.059241";"0.04149";"0.07232";"0.1073";"0.0245";"0.859";"0.0090"
"718";"ILMN_2105308";"DPM1";"10.23";" 9.62";" 0.6150";"0.117984";"0.07045";"0.13742";"0.0562";"0.0515";"0.859";"0.0337"
"719";"ILMN_1769702";"GPAA1";" 7.08";" 7.40";"-0.3275";"0.033473";"0.05107";"0.06106";"0.1196";"0.0088";"0.859";"0.0130"
"720";"ILMN_2220283";"HNRPA1L-2";"10.77";"10.56";" 0.2126";"0.060455";"0.02225";"0.06442";"0.1021";"0.0323";"0.859";"0.0071"
"721";"ILMN_1729775";"OPA1";" 8.00";" 6.93";" 1.0674";"0.071865";"0.16563";"0.18055";"0.1063";"0.0223";"0.858";"0.0131"
"722";"ILMN_1743663";"POMT1";" 6.57";" 6.92";"-0.3572";"0.014632";"0.05695";"0.05880";"0.1157";"0.0103";"0.858";"0.0157"
"723";"ILMN_1754421";"NDUFAF1";" 7.86";" 7.62";" 0.2484";"0.049480";"0.02490";"0.05539";"0.0386";"0.0769";"0.858";"0.0269"
"724";"ILMN_1688455";"KIAA0564";" 6.70";" 6.27";" 0.4264";"0.073125";"0.05746";"0.09300";"0.0884";"0.0144";"0.857";"0.0402"
"725";"ILMN_1684771";"PGRMC1";"11.17";"10.92";" 0.2433";"0.000975";"0.03369";"0.03371";"0.0555";"0.0786";"0.857";"0.0094"
"726";"ILMN_1708502";"AFF4";" 8.09";" 7.26";" 0.8303";"0.066097";"0.12299";"0.13963";"0.0877";"0.0343";"0.856";"0.0216"
"727";"ILMN_1785265";"PLS3";"11.93";"11.51";" 0.4172";"0.041474";"0.06500";"0.07711";"0.1178";"0.0129";"0.856";"0.0129"
"728";"ILMN_2053679";"ACADM";" 9.38";" 8.81";" 0.5706";"0.114815";"0.07920";"0.13948";"0.1187";"0.0153";"0.856";"0.0098"
"729";"ILMN_1689189";"ZBTB3";" 5.68";" 6.23";"-0.5552";"0.020880";"0.07768";"0.08043";"0.0603";"0.0749";"0.856";"0.0087"
"730";"ILMN_2383871";"ZNF74";" 6.30";" 6.73";"-0.4281";"0.091618";"0.04033";"0.10010";"0.0376";"0.0760";"0.856";"0.0307"
"731";"ILMN_2317580";"SHANK3";" 7.08";" 7.51";"-0.4327";"0.061609";"0.05991";"0.08594";"0.0835";"0.0301";"0.856";"0.0309"
"732";"ILMN_2317923";"TMEM132A";" 7.59";" 8.13";"-0.5406";"0.077374";"0.07159";"0.10541";"0.0693";"0.0484";"0.856";"0.0268"
"733";"ILMN_3243268";"ALG10";" 5.91";" 5.47";" 0.4483";"0.085664";"0.05743";"0.10313";"0.0829";"0.0168";"0.855";"0.0450"
"734";"ILMN_1765082";"RBM10";" 7.27";" 7.61";"-0.3400";"0.065968";"0.03924";"0.07676";"0.0585";"0.0508";"0.855";"0.0354"
"735";"ILMN_1656165";"USP9X";" 8.86";" 8.06";" 0.8012";"0.055424";"0.11962";"0.13184";"0.0885";"0.0454";"0.855";"0.0110"
"736";"ILMN_1666305";"CDKN3";"10.17";" 9.43";" 0.7427";"0.062066";"0.09043";"0.10968";"0.0346";"0.1005";"0.855";"0.0098"
"737";"ILMN_3287422";"LOC650515";" 5.84";" 6.22";"-0.3845";"0.059637";"0.05750";"0.08284";"0.1226";"0.0112";"0.855";"0.0114"
"738";"ILMN_1683175";"C9orf23";" 9.33";" 9.67";"-0.3436";"0.035090";"0.05169";"0.06248";"0.1011";"0.0165";"0.855";"0.0278"
"739";"ILMN_1664369";"DHTKD1";" 6.96";" 7.56";"-0.5966";"0.067863";"0.08637";"0.10984";"0.0886";"0.0302";"0.855";"0.0268"
"740";"ILMN_2151579";"HMGN1";"12.32";"12.11";" 0.2125";"0.027795";"0.02995";"0.04086";"0.0849";"0.0520";"0.855";"0.0086"
"741";"ILMN_1713978";"SDF2";"10.55";"10.75";"-0.1949";"0.054178";"0.01412";"0.05599";"0.0479";"0.0183";"0.854";"0.0796"
"742";"ILMN_1815010";"RNF141";" 6.37";" 5.77";" 0.5959";"0.016831";"0.09108";"0.09262";"0.0922";"0.0368";"0.854";"0.0172"
"743";"ILMN_2169761";"CPNE8";" 8.39";" 7.08";" 1.3097";"0.177519";"0.16144";"0.23995";"0.0487";"0.0788";"0.854";"0.0189"
"744";"ILMN_2143261";"CXorf40B";" 8.96";" 9.18";"-0.2196";"0.056161";"0.02763";"0.06259";"0.1263";"0.0109";"0.854";"0.0092"
"745";"ILMN_1726107";"UBE2V1";" 5.36";" 5.26";" 0.1063";"0.037162";"0.00807";"0.03803";"0.1197";"0.0193";"0.854";"0.0074"
"746";"ILMN_2383693";"UPF2";"10.00";" 8.74";" 1.2555";"0.052574";"0.19442";"0.20141";"0.0999";"0.0271";"0.853";"0.0197"
"747";"ILMN_1679045";"SBDS";"10.28";" 9.80";" 0.4795";"0.021007";"0.06574";"0.06902";"0.0548";"0.0809";"0.853";"0.0117"
"748";"ILMN_2120917";"CTR9";" 6.34";" 5.72";" 0.6158";"0.053768";"0.08479";"0.10040";"0.0633";"0.0771";"0.852";"0.0075"
"749";"ILMN_1713993";"UBAC2";" 8.84";" 9.05";"-0.2112";"0.021081";"0.02863";"0.03556";"0.0618";"0.0682";"0.852";"0.0181"
"750";"ILMN_1794539";"KIF11";" 8.42";" 7.29";" 1.1301";"0.019798";"0.17997";"0.18105";"0.1115";"0.0181";"0.851";"0.0193"
"751";"ILMN_1704154";"TNFRSF19";" 5.13";" 5.46";"-0.3297";"0.038498";"0.04951";"0.06271";"0.1052";"0.0125";"0.851";"0.0314"
"752";"ILMN_1661142";"TMF1";" 6.85";" 5.64";" 1.2110";"0.035741";"0.18897";"0.19232";"0.1019";"0.0284";"0.851";"0.0189"
